System ID,UPC,EAN,Custom SKU,Manufact. SKU,name,Vendor ID,Qty.,price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q505C,Master Plumber -- Q505C,,1,$27.23 ,Yes,Master Plumber,No,,,15.08,Item,15.08,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,D-26,Master Plumber -- D-26,,1,$82.31 ,Yes,Master Plumber,No,,,45.59,Item,45.59,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,700K,Master Plumber -- 700K,,1,$61.49 ,Yes,Master Plumber,No,,,34.05,Item,34.05,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,CR-1K,Master Plumber -- CR-1K,,1,$11.95 ,Yes,Master Plumber,No,,,6.62,Item,6.62,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q427NS,Master Plumber -- Q427NS,,1,$20.71 ,Yes,Master Plumber,No,,,11.47,Item,11.47,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q307B,Master Plumber -- Q307B,,1,$0.13 ,Yes,Master Plumber,No,,,0.07,Item,0.07,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,1452,Master Plumber -- 1452,,1,$24.85 ,Yes,Master Plumber,No,,,13.77,Item,13.77,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,775F,Master Plumber -- 775F,,1,$1.75 ,Yes,Master Plumber,No,,,0.97,Item,0.97,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,MU-9,Master Plumber -- MU-9,,1,$16.75 ,Yes,Master Plumber,No,,,9.28,Item,9.28,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q546,Master Plumber -- Q546,,1,$8.53 ,Yes,Master Plumber,No,,,4.72,Item,4.72,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,E-12A,Master Plumber -- E-12A,,1,$23.86 ,Yes,Master Plumber,No,,,13.22,Item,13.22,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,CR-7K,Master Plumber -- CR-7K,,1,$60.68 ,Yes,Master Plumber,No,,,33.61,Item,33.61,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,E-2A,Master Plumber -- E-2A,,1,$33.19 ,Yes,Master Plumber,No,,,18.38,Item,18.38,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q567,Master Plumber -- Q567,,1,$49.01 ,Yes,Master Plumber,No,,,27.14,Item,27.14,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q663,Master Plumber -- Q663,,1,$29.90 ,Yes,Master Plumber,No,,,16.56,Item,16.56,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q1144,Master Plumber -- Q1144,,1,$20.16 ,Yes,Master Plumber,No,,,11.17,Item,11.17,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,S-12K,Master Plumber -- S-12K,,1,$2.36 ,Yes,Master Plumber,No,,,1.31,Item,1.31,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q747,Master Plumber -- Q747,,1,$0.18 ,Yes,Master Plumber,No,,,0.1,Item,0.1,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,UB-12,Master Plumber -- UB-12,,1,$59.65 ,Yes,Master Plumber,No,,,59.65,Item,4.23,,,,,,,,,,,
